Date,Open,High,Low,Close,Adj Close,Volume
2023-07-11,28.201923,28.201923,27.355768,27.730768,26.567432,887744
2023-07-12,27.788462,27.990383,27.567307,27.673077,26.512163,719056
2023-07-13,27.884615,27.951923,27.394230,27.778847,26.613495,1026376
2023-07-14,27.769230,27.769230,27.057692,27.461538,26.309498,769184
2023-07-17,27.519230,27.615383,27.278847,27.451923,26.300287,517296
2023-07-18,27.548077,27.586538,27.201923,27.490383,26.337133,544440
2023-07-19,27.490383,27.605768,27.144230,27.365383,26.217377,685256
2023-07-20,27.365383,27.461538,27.086538,27.307692,26.162107,606112
2023-07-21,27.307692,27.538462,27.134615,27.355768,26.208166,774800
2023-07-24,27.375000,27.990383,27.375000,27.644230,26.484528,525096
2023-07-25,27.875000,28.653847,27.788462,28.096153,26.917490,770744
2023-07-26,28.096153,28.423077,27.855768,28.096153,26.917490,705328
2023-07-27,28.365383,28.413462,27.942307,28.163462,26.981974,949104
2023-07-28,28.163462,28.423077,27.951923,28.134615,26.954340,298584
2023-07-31,28.144230,28.278847,27.875000,28.009615,26.834581,664352
2023-08-01,27.644230,27.990383,27.346153,27.721153,26.558222,1426568
2023-08-02,27.615383,28.019230,27.615383,27.759615,26.595070,669656
2023-08-03,27.884615,28.115383,27.634615,27.730768,26.567432,808912
2023-08-04,27.750000,28.605768,27.740383,28.028847,26.853006,759200
2023-08-07,28.076923,28.153847,27.538462,27.721153,26.558222,518544
2023-08-08,27.644230,27.971153,27.413462,27.413462,26.263439,449592
2023-08-09,27.596153,27.596153,27.365383,27.576923,26.420042,579176
2023-08-10,27.576923,28.038462,27.375000,27.538462,26.383196,710216
2023-08-11,27.596153,27.634615,27.326923,27.586538,26.429256,538824
2023-08-14,27.586538,27.894230,27.336538,27.461538,26.309498,537160
2023-08-15,27.461538,27.663462,27.240383,27.288462,26.143682,596648
2023-08-16,27.278847,27.336538,26.865383,27.221153,26.079199,697112
2023-08-17,27.105768,27.211538,26.778847,27.048077,26.023691,926848
2023-08-18,27.144230,27.221153,26.807692,26.961538,25.940430,568880
2023-08-21,27.067307,27.153847,26.798077,26.826923,25.810913,867256
2023-08-22,26.894230,27.278847,26.894230,27.076923,26.051445,660504
2023-08-23,27.144230,27.413462,27.086538,27.413462,26.375238,649584
2023-08-24,27.461538,27.961538,27.423077,27.528847,26.486252,731640
2023-08-25,27.721153,27.961538,27.230768,27.355768,26.319729,621088
2023-08-28,27.355768,27.634615,27.326923,27.538462,26.495504,1104064
2023-08-29,27.557692,28.105768,27.557692,27.990383,26.930307,670696
2023-08-30,27.500000,27.807692,27.413462,27.653847,26.606518,1225016
2023-08-31,27.932692,27.932692,27.201923,27.201923,26.171711,884312
2023-09-01,27.201923,27.644230,27.115383,27.432692,26.393740,1084304
2023-09-04,27.509615,27.807692,27.403847,27.807692,26.754536,613808
2023-09-05,27.759615,27.990383,27.500000,27.769230,26.717533,1256840
2023-09-06,27.769230,27.923077,27.519230,27.586538,26.541759,848848
2023-09-08,27.634615,27.634615,27.278847,27.538462,26.495504,521560
2023-09-11,27.538462,28.115383,27.538462,28.009615,26.948811,673400
2023-09-12,28.048077,28.500000,28.048077,28.500000,27.420624,717392
2023-09-13,28.461538,28.855768,28.326923,28.432692,27.355865,936624
2023-09-14,28.730768,28.740383,28.326923,28.567307,27.485384,578864
2023-09-15,28.490383,28.740383,28.403847,28.490383,27.411373,1547936
2023-09-18,28.490383,28.721153,28.201923,28.548077,27.466883,661544
2023-09-19,28.461538,28.653847,28.250000,28.471153,27.392872,553176
2023-09-20,28.471153,28.875000,28.317307,28.576923,27.494635,675584
2023-09-21,28.528847,28.605768,28.211538,28.336538,27.263355,656552
2023-09-22,28.471153,28.528847,28.173077,28.317307,27.244852,557440
2023-09-25,28.355768,28.442307,28.048077,28.192307,27.124586,588016
2023-09-26,28.173077,28.250000,27.846153,28.038462,26.976566,707408
2023-09-27,28.048077,28.048077,27.125000,27.317307,26.282724,1019720
2023-09-28,27.201923,27.721153,27.182692,27.567307,26.523254,953368
2023-09-29,27.971153,28.048077,27.538462,27.653847,26.606518,635544
2023-10-02,27.653847,27.663462,27.201923,27.298077,26.264221,696800
2023-10-03,27.163462,27.307692,26.932692,27.086538,26.060696,722904
2023-10-04,27.211538,27.548077,26.932692,27.548077,26.504753,556504
2023-10-05,27.509615,27.884615,27.298077,27.365383,26.328978,1227408
2023-10-06,27.105768,27.432692,26.807692,27.413462,26.375238,924144
2023-10-09,27.528847,27.615383,27.173077,27.500000,26.458500,678080
2023-10-10,27.567307,28.000000,27.567307,27.750000,26.699032,796224
2023-10-11,27.750000,28.028847,27.548077,27.778847,26.726784,464464
2023-10-13,27.634615,27.634615,27.028847,27.192307,26.162457,826384
2023-10-16,27.192307,27.586538,27.153847,27.413462,26.375238,364104
2023-10-17,27.317307,27.596153,26.971153,27.048077,26.023691,767312
2023-10-18,27.019230,27.038462,26.557692,26.788462,25.773909,1307488
2023-10-19,26.769230,27.307692,26.596153,26.798077,25.783159,579800
2023-10-20,26.788462,27.211538,26.778847,27.182692,26.153208,681512
2023-10-23,27.038462,27.538462,26.990383,27.298077,26.264221,674856
2023-10-24,27.480768,27.538462,27.057692,27.336538,26.301228,415792
2023-10-25,27.346153,27.490383,26.942307,26.942307,25.921925,547872
2023-10-26,27.086538,27.605768,27.086538,27.490383,26.449245,468312
2023-10-27,27.182692,27.730768,27.038462,27.125000,26.097700,469664
2023-10-30,27.173077,27.403847,26.980768,27.009615,25.986685,847184
2023-10-31,27.009615,27.326923,26.923077,26.923077,25.903423,498368
2023-11-01,26.923077,27.192307,26.750000,27.144230,26.116203,1076088
2023-11-03,27.307692,27.875000,27.298077,27.576923,26.532509,692016
2023-11-06,27.769230,27.903847,27.490383,27.798077,26.745285,396344
2023-11-07,27.932692,28.509615,27.875000,28.394230,27.318861,575744
2023-11-08,28.317307,28.596153,28.173077,28.461538,27.383621,374504
2023-11-09,28.605768,28.653847,28.115383,28.250000,27.180094,333736
2023-11-10,27.836538,28.278847,27.538462,27.615383,26.569511,1277848
2023-11-13,27.423077,27.740383,27.403847,27.596153,26.551010,568464
2023-11-14,27.701923,28.192307,27.634615,27.875000,26.819296,1094184
2023-11-16,27.596153,28.451923,27.596153,28.451923,27.374371,609544
2023-11-17,28.432692,28.596153,28.057692,28.423077,27.457970,500448
2023-11-20,28.605768,28.692307,28.096153,28.201923,27.244326,305344
2023-11-21,28.259615,28.259615,27.644230,27.903847,26.956369,498472
2023-11-22,27.884615,28.375000,27.846153,28.375000,27.411524,737984
2023-11-23,28.269230,28.346153,28.000000,28.230768,27.272192,521664
2023-11-24,28.163462,28.163462,27.778847,27.894230,26.947081,564720
2023-11-27,27.826923,27.951923,27.365383,27.625000,26.686993,632216
2023-11-28,27.625000,27.807692,27.509615,27.730768,26.789169,593320
2023-11-29,27.721153,27.817307,27.500000,27.500000,26.566236,588640
2023-11-30,27.500000,27.769230,27.173077,27.721153,26.779879,1724944
2023-12-01,27.750000,28.346153,27.567307,28.346153,27.383657,813384
