Ano;Precipita‡Æo
1981;26,2
1982;46,9
1983;9,5
1984;43,1
1985;42,1
1986;46,6
1987;20
1988;36,8
1989;53,5
1990;14,6
1991;9,7
1992;13,1
1993;1,9
1994;38
1995;3,4
1996;14,9
1997;35,7
1998;19,9
1999;3,5
2000;45,7
2001;91,8
2002;70,9
2003;0
2004;14,6
2005;0
2006;0
2007;144,4
2008;162,9
2009;32,1
2010;4,8
2011;39,3
2012;28,7
2013;13,3
2014;13,8
2015;70,9
2016;6
2017;88
2018;56,5
2019;9,2
2020;6,4
2021;8,1
2022;39,2
2023;8,2
