Date,Open,High,Low,Close,Adj Close,Volume
2023-07-11,24.500000,24.510000,23.940001,24.170000,22.650023,24673600
2023-07-12,24.469999,24.469999,23.680000,23.780001,22.284548,24458200
2023-07-13,23.930000,24.190001,23.795000,24.004999,22.495396,14068400
2023-07-14,23.980000,24.355000,23.705000,23.844999,22.345459,26211600
2023-07-17,23.900000,24.094999,23.730000,24.055000,22.542253,10774000
2023-07-18,24.049999,24.225000,23.920000,24.135000,22.617224,9060600
2023-07-19,24.200001,24.200001,23.660000,23.715000,22.223639,16210800
2023-07-20,23.780001,24.025000,23.700001,23.975000,22.467285,13507600
2023-07-21,23.975000,24.424999,23.975000,24.260000,22.734362,20264400
2023-07-24,24.120001,24.424999,23.590000,23.785000,22.289236,35741000
2023-07-25,24.129999,24.129999,23.650000,23.660000,22.172094,21533400
2023-07-26,23.705000,23.900000,23.535000,23.860001,22.359520,24767000
2023-07-27,23.860001,23.879999,23.325001,23.370001,21.900333,23501400
2023-07-28,23.565001,23.785000,23.430000,23.639999,22.153351,14552200
2023-07-31,23.799999,24.160000,23.740000,24.094999,22.579739,20779800
2023-08-01,23.959999,24.014999,23.469999,23.680000,22.190838,25360200
2023-08-02,23.629999,23.879999,23.549999,23.785000,22.289236,11204000
2023-08-03,23.950001,23.990000,23.670000,23.825001,22.326719,16752600
2023-08-04,23.750000,23.980000,23.525000,23.700001,22.209579,22979000
2023-08-07,23.809999,24.000000,23.600000,23.660000,22.172094,11456400
2023-08-08,23.615000,23.695000,23.180000,23.495001,22.017471,23776200
2023-08-09,23.500000,23.575001,23.254999,23.365000,21.895645,15315400
2023-08-10,23.549999,23.650000,23.365000,23.485001,22.008101,24978000
2023-08-11,23.590000,23.830000,23.520000,23.740000,22.247065,17290800
2023-08-14,23.844999,23.844999,23.469999,23.504999,22.026840,13148400
2023-08-15,23.570000,23.670000,23.340000,23.379999,21.909702,17451800
2023-08-16,23.405001,23.865000,23.405001,23.580000,22.097126,23000000
2023-08-17,23.754999,23.850000,23.590000,23.799999,22.303288,18367600
2023-08-18,23.790001,24.059999,23.665001,23.895000,22.392319,20640200
2023-08-21,24.000000,24.025000,23.655001,23.809999,22.312660,15745000
2023-08-22,23.600000,24.040001,23.540001,23.985001,22.796869,15715200
2023-08-23,24.055000,24.240000,23.815001,24.090000,22.896666,15535200
2023-08-24,24.049999,24.049999,23.665001,23.775000,22.597271,12775200
2023-08-25,23.805000,23.850000,23.205000,23.465000,22.302628,17948200
2023-08-28,23.580000,24.250000,23.475000,24.139999,22.944193,15418400
2023-08-29,24.264999,24.620001,24.165001,24.275000,23.072504,19569600
2023-08-30,24.350000,24.440001,23.900000,23.924999,22.739838,11510800
2023-08-31,23.975000,23.990000,23.510000,23.549999,22.383419,26407200
2023-09-01,23.615000,23.850000,23.594999,23.709999,22.535490,11074000
2023-09-04,23.750000,23.850000,23.590000,23.635000,22.464209,7264600
2023-09-05,23.674999,23.900000,23.504999,23.549999,22.383419,15288200
2023-09-06,23.610001,23.725000,23.385000,23.389999,22.231344,14183600
2023-09-08,23.424999,23.510000,23.150000,23.320000,22.164810,15485200
2023-09-11,23.540001,23.770000,23.420000,23.690001,22.516485,14399800
2023-09-12,23.594999,23.809999,23.545000,23.650000,22.638145,15370400
2023-09-13,23.674999,23.950001,23.565001,23.629999,22.618996,14725600
2023-09-14,23.745001,23.959999,23.594999,23.695000,22.681215,14569800
2023-09-15,23.709999,23.850000,23.555000,23.775000,22.757793,21606000
2023-09-18,23.820000,24.055000,23.674999,23.674999,22.662071,20200800
2023-09-19,23.674999,23.885000,23.535000,23.639999,22.628571,15278200
2023-09-20,23.660000,24.125000,23.635000,23.850000,22.829584,14760600
2023-09-21,23.660000,23.695000,23.235001,23.305000,22.307903,16633600
2023-09-22,23.379999,23.565001,23.299999,23.344999,22.346191,10722800
2023-09-25,23.309999,23.385000,23.084999,23.209999,22.216965,18254000
2023-09-26,23.014999,23.110001,22.785000,22.879999,21.901087,23590000
2023-09-27,23.075001,23.254999,22.809999,23.080000,22.092529,22109000
2023-09-28,23.145000,23.900000,23.115000,23.820000,22.800869,23827200
2023-09-29,23.920000,23.945000,23.549999,23.590000,22.580711,10906400
2023-10-02,23.584999,23.674999,23.450001,23.525000,22.518492,9462400
2023-10-03,23.540001,23.559999,23.160000,23.225000,22.231327,12873200
2023-10-04,23.299999,23.535000,23.090000,23.400000,22.398840,16379400
2023-10-05,23.389999,23.920000,23.299999,23.469999,22.465845,15530000
2023-10-06,23.469999,24.615000,23.355000,24.424999,23.379986,41413600
2023-10-09,24.270000,24.455000,24.115000,24.295000,23.255545,19707000
2023-10-10,24.325001,24.565001,24.235001,24.254999,23.217257,19682000
2023-10-11,24.260000,24.575001,24.254999,24.485001,23.437418,16514000
2023-10-13,24.545000,24.665001,24.325001,24.410000,23.365627,21928200
2023-10-16,24.680000,24.995001,24.590000,24.905001,23.839449,15472400
2023-10-17,24.799999,25.139999,24.600000,24.680000,23.624073,16189200
2023-10-18,24.530001,24.850000,24.450001,24.559999,23.509209,22840800
2023-10-19,24.559999,25.059999,24.480000,24.750000,23.691078,16271800
2023-10-20,24.684999,25.105000,24.575001,24.670000,23.614502,19846600
2023-10-23,24.639999,24.895000,24.415001,24.635000,23.580999,15813600
2023-10-24,24.750000,24.920000,24.355000,24.520000,23.470921,17053000
2023-10-25,24.540001,24.820000,24.445000,24.525000,23.475706,12625200
2023-10-26,24.570000,25.100000,24.480000,25.035000,23.963884,19577600
